Player, Team, 17-18, 18-19, 19-20,  20-21, 21-22, 22-23, Gtd,
James Michael, PHI,50000,0,0,0,0,0,50000, 
Jamil Wilson, LAC,50000,0,0,0,0,0,50000, 
JaMychal Green, MEM,8533333,7866667,0,0,0,0,16400000, 
Jared Dudley, PHO,10000000,9530000,0,0,0,0,19530000, 
Jarell Eddie, BOS,83129,0,0,0,0,0,83129, 
Jarell Martin, MEM,1471382,2416222,0,0,0,0,3887604, 
Jarrett Allen, BRK,1713720,2034120,2376840,3909902,0,0,3747840, 
Jarrett Jack, NYK,2328652,0,0,0,0,0,2328652, 
Jason Smith, WAS,5225000,5450000,0,0,0,0,5225000, 
Jason Terry, MIL,2328652,0,0,0,0,0,2328652, 
Jason Thompson, GSW,945126,945126,0,0,0,0,1890252, 
JaVale McGee, GSW,2116955,0,0,0,0,0,2116955, 
Jawun Evans, LAC,815615,1378242,1618520,0,0,0,2193857, 
Jaylen Brown, BOS,4956480,5169960,6534829,0,0,0,10126440, 
Jayson Tatum, BOS,5645400,6700800,7830000,9897120,0,0,12346200, 
Jeff Green, CLE,2116955,0,0,0,0,0,2116955, 
Jeff Teague, MIN,19000000,19000000,19000000,0,0,0,38000000, 
Jeff Withey, DAL,1577320,1795015,0,0,0,0,350000, 
Jerami Grant, OKC,1524305,0,0,0,0,0,1524305, 
Jeremy Evans, ATL,50000,0,0,0,0,0,50000, 
Jeremy Lamb, CHO,7000000,7488372,0,0,0,0,14488372, 
Jeremy Lin, BRK,12000000,12516746,0,0,0,0,24516746, 
Jerian Grant, CHI,1713840,2639314,0,0,0,0,4353154, 
Jerryd Bayless, PHI,9000000,8575916,0,0,0,0,17575916, 
Jimmy Butler, MIN,19301070,20445779,19841627,0,0,0,39746849, 
Joakim Noah, NYK,17765000,18530000,19295000,0,0,0,55590000, 
Jodie Meeks, WAS,3290000,3454500,0,0,0,0,3290000, 
Joe Harris, BRK,1524305,0,0,0,0,0,1524305, 
Joe Ingles, UTA,14136364,13045455,11954546,10863637,0,0,50000002, 
Joe Johnson, SAC,9505000,0,0,0,0,0,9505000, 
Joe Young, IND,1471382,1600520,0,0,0,0,1471382, 
Joel Bolomboy, UTA,1312611,0,0,0,0,0,1312611, 
Joel Embiid, PHI,6100266,25250000,27270000,29290000,31310000,0,6100266, 
Joffrey Lauvergne, SAS,1524305,1656092,0,0,0,0,1524305, 
John Collins, ATL,1936920,2299080,2686560,4137302,0,0,4236000, 
John Henson, MIL,11422536,10577466,9732396,0,0,0,31732398, 
John Wall, WAS,18063850,19169800,37800000,40824000,43848000,0,159705650, 
Johnny O'Bryant, NYK,1524305,0,0,0,0,0,1524305, 
Jon Leuer, DET,10497319,10002681,9508043,0,0,0,30008043, 
Jonas Jerebko, UTA,4000000,4200000,0,0,0,0,4000000, 
Jonas Valanciunas, TOR,15460675,16539326,17617977,0,0,0,32000001, 
Jonathan Isaac, ORL,4186320,4969080,5806440,7362566,0,0,9155400, 
Jonathon Simmons, ORL,6300000,6000000,5700000,0,0,0,13300000, 
Jordan Bell, GSW,815615,1378252,0,0,0,0,2193867, 
Jordan Clarkson, CLE,11562500,12500000,13437500,0,0,0,37500000, 
Jordan Crawford, NOP,250000,0,0,0,0,0,250000, 
Jordan Farmar, LAC,510921,0,0,0,0,0,510921, 
Jordan Mickey, MIA,1471382,1600520,0,0,0,0,1471382, 
Jose Calderon, CLE,2328652,0,0,0,0,0,2328652, 
Josh Gray, PHO,92160,0,0,0,0,0,92160, 
Josh Hart, LAL,1394520,1655160,1934160,3491159,0,0,3049680, 
Josh Huestis, OKC,1471382,0,0,0,0,0,1471382, 
Josh Jackson, PHO,5090040,6041520,7059480,8930242,0,0,11131560, 
Josh McRoberts, DAL,6021175,0,0,0,0,0,6021175, 
Josh Richardson, MIA,1471382,9300000,10100000,10800000,11600000,0,31671382, 
Josh Smith, DET,7500000,5400000,5400000,0,0,0,18300000, 
Jrue Holiday, NOP,25686667,26131111,26131111,26131111,27020000,0,104080000, 
Juan Hernangomez, DEN,2076840,2166360,3321030,0,0,0,4243200, 
Julius Randle, LAL,4149242,0,0,0,0,0,4149242, 
Julyan Stone, CHO,1524305,1656092,0,0,0,0,1524305, 
Justin Anderson, PHI,1579440,2516048,0,0,0,0,4095488, 
Justin Hamilton, TOR,1000000,1000000,1000000,0,0,0,3000000, 
Justin Holiday, CHI,4615385,4384616,0,0,0,0,9000001, 
Justin Jackson, SAC,2365560,2807880,3280920,5029650,0,0,5173440, 
Justin Patton, MIN,2247480,2667600,3117240,4781846,0,0,4915080, 
Justise Winslow, MIA,2705040,3448926,0,0,0,0,6153966, 
Jusuf Nurkic, POR,2947305,0,0,0,0,0,2947305, 
K.J. McDaniels, TOR,100000,0,0,0,0,0,100000, 
Karl-Anthony Towns, MIN,6216840,7839435,0,0,0,0,6216840, 
Kawhi Leonard, SAS,18868625,20099189,21329752,0,0,0,38967814, 
Kay Felder, CHI,1312611,1544951,0,0,0,0,456529, 
Kelly Olynyk, MIA,10607169,11137527,11667885,12198243,0,0,33412581, 
Kelly Oubre, WAS,2093040,3208630,0,0,0,0,5301670, 
Kemba Walker, CHO,12000000,12000000,0,0,0,0,24000000, 
Kenneth Faried, DEN,12921348,13764045,0,0,0,0,26685393, 
Kent Bazemore, ATL,16910113,18089887,19269662,0,0,0,35000000, 
Kentavious Caldwell-Pope, LAL,17745894,0,0,0,0,0,17745894, 
Kevin Durant, GSW,25000000,26250000,0,0,0,0,25000000, 
Kevin Love, CLE,22642350,24119025,25595700,0,0,0,46761375, 
Kevin Martin, MIN,1360305,1360305,0,0,0,0,2720610, 
Kevon Looney, GSW,1471382,0,0,0,0,0,1471382, 
Khem Birch, ORL,815615,1378242,0,0,0,0,815615, 
Khris Middleton, MIL,14100000,13000000,13000000,0,0,0,27100000, 
Klay Thompson, GSW,17826150,18988725,0,0,0,0,36814875, 
Kosta Koufos, SAC,8393000,8739500,0,0,0,0,8393000, 
Kris Dunn, CHI,4046760,4221000,5348007,0,0,0,8267760, 
Kristaps Porzingis, NYK,4503600,5697054,0,0,0,0,10200654, 
Kyle Anderson, SAS,2151704,0,0,0,0,0,2151704, 
Kyle Collinsworth, DAL,92160,0,0,0,0,0,142160, 
Kyle Korver, CLE,7000000,7560000,7500000,0,0,0,18000000, 
Kyle Kuzma, LAL,1423560,1689840,1974600,3562178,0,0,3113400, 
Kyle Lowry, TOR,28703704,31000000,33296296,0,0,0,93000000, 
Kyle O'Quinn, NYK,4087500,4256250,0,0,0,0,4087500, 
Kyle Singler, OKC,4666500,4996000,5333500,0,0,0,9662500, 
Kyrie Irving, BOS,18868625,20099188,21329750,0,0,0,38967813, 
LaMarcus Aldridge, SAS,21461010,22347015,26000000,0,0,0,69808025, 
Lance Stephenson, IND,4180000,4360000,0,0,0,0,4180000, 
Lance Thomas, NYK,6655325,7119650,7583975,0,0,0,13774975, 
Langston Galloway, DET,6666667,7000000,7333333,0,0,0,21000000, 
Larry Nance, CLE,1471382,2272391,0,0,0,0,3743773, 
Larry Sanders, MIL,1865547,1865547,1865547,1865547,1865547,0,9327735, 
Lauri Markkanen, CHI,3821640,4536120,5300400,6731508,0,0,8357760, 
Leandro Barbosa, PHO,500000,0,0,0,0,0,500000, 
LeBron James, CLE,33285709,35607968,0,0,0,0,33285709, 
Livio Jean-Charles, SAS,1035200,0,0,0,0,0,1035200, 
Lonzo Ball, LAL,6286560,7461960,8719320,11003782,0,0,13748520, 
Lou Williams, LAC,7000000,8000000,8000000,1500000,0,0,23000000, 
Luc Mbah, HOU,2116955,0,0,0,0,0,2116955, 
Lucas Nogueira, TOR,2947305,0,0,0,0,0,2947305, 
Luis Montero, DET,50000,0,0,0,0,0,50000, 
Luke Babbitt, MIA,1974159,0,0,0,0,0,987080, 
Luke Kennard, DET,2759280,3275280,3827160,5273826,0,0,6034560, 
Luol Deng, LAL,17190000,18000000,18810000,0,0,0,54000000, 
Malachi Richardson, TOR,1504560,1569360,2581597,0,0,0,3073920, 
Malcolm Brogdon, MIL,1312611,1544951,0,0,0,0,1312611, 
Malcolm Delaney, ATL,2500000,0,0,0,0,0,2500000, 
Malik Beasley, DEN,1700640,1773840,2731714,0,0,0,3474480, 
Malik Monk, CHO,2904480,3447480,4028400,5345687,0,0,6351960, 
Manu Ginobili, SAS,2500000,2500000,0,0,0,0,5000000, 
Marc Gasol, MEM,22642350,24119025,25595700,0,0,0,46761375, 
Marcin Gortat, WAS,12782609,13565218,0,0,0,0,26347827, 
Marco Belinelli, ATL,6306060,0,0,0,0,0,6306060, 
Marcus Georges-Hunt, MIN,1312611,0,0,0,0,0,1312611, 
Marcus Morris, BOS,5000000,5375000,0,0,0,0,10375000, 
Marcus Smart, BOS,4538020,0,0,0,0,0,4538020, 
Mario Chalmers, MEM,2106407,0,0,0,0,0,2106407, 
Mario Hezonja, ORL,4078320,0,0,0,0,0,4078320, 
Markelle Fultz, PHI,7026240,8339880,9745200,12288697,0,0,15366120, 
Markieff Morris, WAS,8000000,8600000,0,0,0,0,16600000, 
Marquese Chriss, PHO,3073800,3206160,4078236,0,0,0,6279960, 
Marreese Speights, ORL,2116955,0,0,0,0,0,2116955, 
Marshall Plumlee, NYK,100000,0,0,0,0,0,100000, 
Martell Webster, WAS,830000,830000,0,0,0,0,1660000, 
Marvin Williams, CHO,13168750,14087500,15006250,0,0,0,27256250, 
Mason Plumlee, DEN,14041096,12917808,14041096,0,0,0,41000000, 
Matt Barnes, SAC,2133542,2133542,2133541,0,0,0,6400625, 
Matt Williams, MIA,50000,0,0,0,0,0,50000, 
Matthew Dellavedova, MIL,9607500,9607500,9607500,0,0,0,28822500, 
Maurice Harkless, POR,10162922,10837079,11511234,0,0,0,32511235, 
Maxi Kleber, DAL,815615,1378242,0,0,0,0,815615, 
Meyers Leonard, POR,9904495,10595506,11286515,0,0,0,31786516, 
Michael Beasley, NYK,2116955,0,0,0,0,0,2116955, 
Michael Carter-Williams, CHO,2700000,0,0,0,0,0,2700000, 
Michael Gbinije, DET,500000,0,0,0,0,0,500000, 
Michael Kidd-Gilchrist, CHO,13000000,13000000,13000000,0,0,0,26000000, 
Michael Young, WAS,50000,0,0,0,0,0,50000, 
Mike Conley, MEM,28530608,30521115,32511623,34504132,0,0,113989729, 
Mike Dunleavy, ATL,1662500,0,0,0,0,0,1662500, 
Mike James, PHO,87552,0,0,0,0,0,87552, 
Mike Muscala, ATL,5000000,5000000,0,0,0,0,5000000, 
Mike Scott, WAS,1709538,0,0,0,0,0,1709538, 
Miles Plumlee, ATL,12500000,12500000,12500000,0,0,0,37500000, 
Milos Teodosic, LAC,6000000,6300000,0,0,0,0,6000000, 
Mindaugas Kuzminskas, NYK,3025035,0,0,0,0,0,3025035, 
Miroslav Raduljica, LAC,300000,300000,0,0,0,0,600000, 
Mirza Teletovic, MIL,10500000,10500000,0,0,0,0,21000000, 
Monta Ellis, IND,2245400,2245400,2245400,2245400,2245400,0,11227000, 
Montrezl Harrell, LAC,1471382,0,0,0,0,0,1471382, 
Myles Turner, IND,2569920,3410284,0,0,0,0,5980204, 
Nate Wolters, UTA,50000,0,0,0,0,0,50000, 
Naz Mitrou-Long, UTA,50000,0,0,0,0,0,96080, 
Nemanja Bjelica, MIN,3949999,0,0,0,0,0,3949999, 
Nene Hilario, HOU,3477600,3651480,3825360,0,0,0,10954440, 
Nerlens Noel, DAL,4187599,0,0,0,0,0,4187599, 
Nick Collison, OKC,2328652,0,0,0,0,0,2328652, 
Nick Young, GSW,5192000,0,0,0,0,0,5192000, 
Nicolas Batum, CHO,22434783,24000000,25565217,27130434,0,0,72000000, 
Nicolas Brussino, ATL,1312611,0,0,0,0,0,1312611, 
Nigel Hayes, NYK,50000,0,0,0,0,0,50000, 
Nik Stauskas, BRK,3807146,0,0,0,0,0,3807146, 
Nikola Jokic, DEN,1471382,1600520,0,0,0,0,1471382, 
Nikola Mirotic, NOP,12500000,12500000,0,0,0,0,25000000, 
Nikola Pekovic, MIN,11600000,0,0,0,0,0,11600000, 
Nikola Vucevic, ORL,12250000,12750000,0,0,0,0,25000000, 
Noah Vonleh, CHI,3505233,0,0,0,0,0,3505233, 
Norman Powell, TOR,1471382,9367200,10116576,10865952,11615328,0,31821110, 
OG Anunoby, TOR,1645200,1952760,2281800,3872215,0,0,3597960, 
Okaro White, ATL,1312611,0,0,0,0,0,1312611, 
Omer Asik, CHI,10595505,11286516,11977527,0,0,0,24882021, 
Omri Casspi, GSW,2106470,0,0,0,0,0,2106470, 
Otto Porter, WAS,24773250,26011913,27250576,28489239,0,0,78035739, 
P.J. Tucker, HOU,7590035,7969537,8349039,7969537,0,0,26477799, 
Pascal Siakam, TOR,1312611,1544951,2351839,0,0,0,2857562, 
Pat Connaughton, POR,1471382,0,0,0,0,0,1471382, 
Patrick Beverley, LAC,5513514,5027028,0,0,0,0,5513514, 
Patrick McCaw, GSW,1312611,0,0,0,0,0,1312611, 
Patrick Patterson, OKC,5192000,5451600,5711200,0,0,0,10643600, 
Patty Mills, SAS,10714286,11571429,12428571,13285714,0,0,48000000, 
Pau Gasol, SAS,16000000,16000000,16000000,0,0,0,38700000, 
Paul George, OKC,19508958,20703384,0,0,0,0,19508958, 
Paul Millsap, DEN,31269231,29730769,30500000,0,0,0,61000000, 
Paul Pierce, LAC,1096080,0,0,0,0,0,1096080, 
Paul Zipser, CHI,1312611,1544951,1676735,0,0,0,1312611, 
Quincy Acy, BRK,1709538,0,0,0,0,0,0, 
Quincy Pondexter, CHI,3853931,0,0,0,0,0,3853931, 
