Rondae Hollis-Jefferson,SF,23,BRK,46,1301,17.2,0.55,0.085,0.423,5.4,9.7,12.2,13.8,1.5,1.8,11.5,22.4,1.6,1.4,3,0.111,-1.1,1.1,0,0.6,1471382,2470357,0,0,0,0,3941739,0,0,3,5,395
Spencer Dinwiddie,PG,24,BRK,56,1612,17.4,0.537,0.514,0.31,1.9,9.7,6,37.2,1.4,0.8,11.1,21.5,3.7,1.1,4.7,0.141,3.2,-1.7,1.5,1.4,1524305,1656092,0,0,0,0,1524305,0,0,2,5,414
Timofey Mozgov,C,31,BRK,26,328,11.2,0.608,0.22,0.305,8.9,9.7,13.9,3.8,0.7,2.5,24.4,16.1,0,0.3,0.3,0.046,-4.2,-0.2,-4.3,-0.2,15280000,16000000,16720000,0,0,0,48000000,0,0,1,4,434
Antonio Blakeney,SG,21,CHI,12,170,8.7,0.466,0.366,0.256,1.8,9.7,6.3,6.6,0.6,0,8.1,25.6,-0.2,0.1,-0.2,-0.044,-4.7,-4.7,-9.4,-0.3,50000,50000,0,0,0,0,100000,0,0,1,3,27
Bobby Portis,PF,22,CHI,46,962,20.5,0.549,0.273,0.226,10.8,9.7,16.6,13.8,1.4,1.1,10.2,26,1.5,0.9,2.4,0.12,1.2,-0.6,0.6,0.6,1516320,2494346,0,0,0,0,4010666,0,0,2,3,40
Cameron Payne,PG,22,CHI,11,142,4,0.417,0.54,0.063,0.8,9.7,6.5,16.2,1.4,0,16.7,23.9,-0.4,0.1,-0.3,-0.086,-5,-2.5,-7.5,-0.2,2203440,3263295,0,0,0,0,5466735,0,0,2,4,56
Cristiano Felicio,C,25,CHI,30,390,11.2,0.6,0,0.425,8.8,9.7,11.6,8,0.5,1.3,15.9,12.7,0.5,0.2,0.7,0.088,-2.7,-0.3,-3,-0.1,7843500,8470980,8156500,7529020,0,0,32000000,0,0,1,2,73
David Nwaba,SG,25,CHI,43,934,12.5,0.564,0.087,0.599,5.1,9.7,10.6,8.5,1.7,1.9,12.4,14,0.9,0.9,1.8,0.092,-2.6,1.4,-1.2,0.2,1312611,0,0,0,0,0,1312611,0,0,2,4,93
Denzel Valentine,SG,24,CHI,55,1539,11.7,0.524,0.521,0.066,2.4,9.7,10.4,16.9,1.3,0.5,11.2,16.6,0.8,1.2,2,0.062,-0.6,0.1,-0.5,0.6,2186400,2280600,3377569,0,0,0,4467000,0,0,2,4,109
Jerian Grant,PG,25,CHI,55,1285,14.6,0.539,0.372,0.383,2.1,9.7,6.1,31.3,1.6,0.3,14,17.1,2.1,0.8,2.9,0.107,0.1,-1.7,-1.5,0.1,1713840,2639314,0,0,0,0,4353154,0,0,2,2,219
Justin Holiday,SG,28,CHI,54,1847,11.5,0.526,0.569,0.228,1.6,9.7,7,10,1.6,1.4,9.4,18,0.7,1.5,2.1,0.055,-0.5,0,-0.4,0.7,4615385,4384616,0,0,0,0,9000001,0,0,3,4,255
Kay Felder,PG,22,CHI,15,137,2.9,0.375,0.279,0.176,1.6,9.7,5.9,22.5,1.1,0.6,17.9,28.6,-0.6,0.1,-0.5,-0.184,-8.7,-3.4,-12.1,-0.3,1312611,1544951,0,0,0,0,456529,0,0,1,4,262
Kris Dunn,PG,23,CHI,40,1185,15,0.483,0.191,0.139,1.9,9.7,8.3,35.6,3.4,1.3,17.2,25.3,-0.8,1.6,0.8,0.031,-1.2,1.6,0.4,0.7,4046760,4221000,5348007,0,0,0,8267760,0,0,2,5,277
Lauri Markkanen,PF,20,CHI,49,1487,15.3,0.55,0.493,0.176,3.7,9.7,13.6,7,0.9,1.6,8.3,21.8,1.1,1.4,2.5,0.08,-0.5,-1.1,-1.6,0.2,3821640,4536120,5300400,6731508,0,0,8357760,0,0,2,6,292
Noah Vonleh,PF,22,CHI,33,476,12.1,0.543,0.063,0.323,8.3,9.7,19.3,3.8,0.6,1.9,12,11.6,0.5,0.7,1.1,0.113,-3.9,0.5,-3.5,-0.2,3505233,0,0,0,0,0,3505233,0,0,2,3,361
Omer Asik,C,31,CHI,14,121,4.5,0.423,0,0.75,6.6,9.7,17,2.1,0.4,1.4,19,9.5,-0.1,0.1,0,0,-7.5,-1,-8.5,-0.2,10595505,11286516,11977527,0,0,0,24882021,0,0,1,1,364
Paul Zipser,SF,23,CHI,46,693,5.2,0.453,0.443,0.093,1.6,9.7,8.7,7.5,1.3,1.4,16.2,15.2,-1,0.6,-0.5,-0.033,-5.7,-0.1,-5.8,-0.7,1312611,1544951,1676735,0,0,0,1312611,0,0,2,3,377
Robin Lopez,C,29,CHI,55,1529,14.6,0.55,0.014,0.147,8.2,9.7,9.1,12.1,0.4,2.6,13.6,20.7,1.1,0.8,1.9,0.058,-1.7,-0.2,-1.9,0,13788500,14357750,0,0,0,0,28146250,0,0,1,5,392
Ryan Arcidiacono,PG,23,CHI,11,108,7.5,0.631,0.818,0.182,0,9.7,3,14.8,2.3,0,20.2,6,0.1,0.1,0.2,0.077,-2.7,-0.9,-3.6,0,13824,0,0,0,0,0,13824,0,0,1,3,401
Zach LaVine,SG,22,CHI,12,296,18.6,0.524,0.354,0.291,1.8,9.7,9.8,18.2,2.2,0.3,7.9,31.8,0.2,0.3,0.5,0.079,1.1,-1.8,-0.8,0.1,3202217,0,0,0,0,0,3202217,0,0,2,6,477
Cody Zeller,C,25,CHO,25,481,15.4,0.57,0.017,0.612,11.7,9.7,15.7,7.8,1.1,3.7,15.9,16.5,0.7,0.6,1.3,0.131,-1.6,2,0.4,0.3,12584270,13528090,14471910,15415730,0,0,56000000,0,0,2,4,68
Dwayne Bacon,SG,22,CHO,35,470,4.5,0.421,0.278,0.122,0.2,9.7,10.4,6.3,0.9,0.4,11.7,12.7,-0.6,0.4,-0.1,-0.012,-6.2,0,-6.2,-0.5,815615,1378242,1618520,0,0,0,2193857,0,0,2,4,127
Dwight Howard,C,32,CHO,56,1735,19,0.56,0.007,0.673,11.4,9.7,22.1,7.5,1.1,4.5,16.9,23.5,1.1,2.9,4,0.111,-2.7,2.4,-0.3,0.7,23500000,23819725,0,0,0,0,47319725,0,0,1,6,129
Frank Kaminsky,PF,24,CHO,53,1240,13.3,0.518,0.389,0.241,2.8,9.7,8.6,10.4,1.1,1,7.5,20.6,0.9,1.1,2,0.077,-0.5,-0.9,-1.4,0.2,2847600,3627842,0,0,0,0,6475442,0,0,2,6,147
Jeremy Lamb,SG,25,CHO,55,1368,17.4,0.546,0.293,0.27,3,9.7,9.6,14.8,1.6,1.4,8.7,23.4,2,1.5,3.5,0.121,0.9,0,0.9,1,7000000,7488372,0,0,0,0,14488372,0,0,2,5,217
Julyan Stone,SG,29,CHO,11,43,10,0.75,1,0,0,9.7,13.9,31.1,2.3,2,50,8.1,0,0.1,0.1,0.104,-3.2,2.2,-1,0,1524305,1656092,0,0,0,0,1524305,0,0,2,1,253
Kemba Walker,PG,27,CHO,54,1888,21,0.562,0.423,0.318,1.2,9.7,5.2,28.9,1.6,0.8,9.8,28,4.5,1.6,6.1,0.156,5.2,-1.5,3.7,2.7,12000000,12000000,0,0,0,0,24000000,0,0,2,8,265
Malik Monk,SG,19,CHO,40,485,7.6,0.445,0.577,0.079,0.4,9.7,3.8,15,1,0.5,8.6,21.8,-0.5,0.3,-0.2,-0.016,-2.4,-3.3,-5.7,-0.5,2904480,3447480,4028400,5345687,0,0,6351960,0,0,2,5,310
Mangok Mathiang,C,25,CHO,3,10,-1.5,0,0,0,10.6,9.7,32.6,0,0,0,0,8.7,0,0,0,-0.087,-15.8,-5.3,-21.1,0,25000,25000,0,0,0,0,0,0,0,1,1,311
Marcus Paige,PG,24,CHO,1,3,-19.4,0,0,0,0,9.7,36.2,0,0,0,0,28.9,0,0,0,-0.616,-34.3,-11,-45.3,0,32256,0,0,0,0,0,32256,0,0,2,4,318
Marvin Williams,PF,31,CHO,52,1349,14.1,0.623,0.525,0.207,4,9.7,10,6.6,1.2,1.3,9,13.9,2.4,1.3,3.8,0.134,1.2,0.4,1.6,1.2,13168750,14087500,15006250,0,0,0,27256250,0,0,2,6,328
Michael Carter-Williams,PG,26,CHO,44,702,10.1,0.439,0.261,0.372,4.8,9.7,8.8,20,2.4,2.1,17,15.6,-0.2,0.9,0.7,0.049,-2.8,2,-0.8,0.2,2700000,0,0,0,0,0,2700000,0,0,2,3,336
Michael Kidd-Gilchrist,SF,24,CHO,49,1288,13.6,0.539,0.005,0.279,4.8,9.7,9.2,6.6,1.4,1.7,6.3,16,1.5,1.3,2.8,0.103,-1.6,0.8,-0.8,0.4,13000000,13000000,13000000,0,0,0,26000000,0,0,3,5,337
Nicolas Batum,SG,29,CHO,42,1327,13.1,0.511,0.42,0.195,3,9.7,7.4,22.6,1.6,0.8,14.8,18.8,0.6,1.2,1.8,0.066,0.3,0.2,0.5,0.8,22434783,24000000,25565217,27130434,0,0,72000000,0,0,2,6,356
Treveon Graham,SG,24,CHO,43,746,9.9,0.563,0.423,0.262,4.4,9.7,7,8.7,1.4,0.1,10.9,12.2,0.8,0.6,1.4,0.089,-0.5,-0.3,-0.8,0.2,1312611,0,0,0,0,0,1312611,0,0,2,3,442
Willy Hernangomez,C,23,CHO,26,233,17.1,0.595,0.062,0.346,10.7,9.7,16.1,14.6,1.7,2.6,21.8,22.5,0.1,0.3,0.4,0.08,-1.2,1.1,-0.1,0.1,1435750,1544951,1701735,0,0,0,2980701,0,0,2,6,472
Ante Zizic,C,21,CLE,14,45,14.2,0.497,0,0.583,15.2,9.7,19.9,3.1,0,5.7,11.7,16.9,0,0,0.1,0.092,-5.1,-1.2,-6.3,0,1645200,1952760,2281800,3872215,0,0,3597960,0,0,2,2,24
Cedi Osman,SF,22,CLE,44,398,11.1,0.609,0.426,0.287,3.2,9.7,11.3,6.5,1.7,0.4,13.8,13.7,0.3,0.3,0.6,0.075,-1.8,-1.2,-2.9,-0.1,2642857,2775000,2907143,0,0,0,8325000,0,0,3,4,59
George Hill,PG,31,CLE,44,1164,14,0.597,0.395,0.308,2.1,9.7,5.9,15.4,1.7,1,14.2,17,1.6,0.4,2,0.083,0.6,-1.4,-0.8,0.4,20000000,19000000,18000000,0,0,0,40000000,0,0,2,6,155
J.R. Smith,SG,32,CLE,54,1605,8.4,0.531,0.694,0.089,1.6,9.7,5.7,9.1,1.5,0.4,10.6,13.1,0.5,0.6,1.1,0.034,-0.3,-0.9,-1.2,0.3,13760000,14720000,15680000,0,0,0,32350000,0,0,2,5,183
Jeff Green,PF,31,CLE,55,1227,16,0.597,0.233,0.405,4.6,9.7,8.5,9,1.1,1.4,9.7,19.9,2.5,0.5,3,0.117,0,-1.7,-1.7,0.1,2116955,0,0,0,0,0,2116955,0,0,2,5,214
John Holland,SF,29,CLE,6,35,0.9,0.333,0.778,0,0,9.7,4.8,0,2.8,0,10,12.7,-0.1,0,-0.1,-0.096,-6.8,-2.7,-9.5,-0.1,23040,0,0,0,0,0,23040,0,0,2,1,232
Jordan Clarkson,SG,25,CLE,54,1279,17.4,0.535,0.316,0.195,3.6,9.7,6.7,22.6,1.5,0.2,11.4,27.4,1.3,1,2.3,0.087,1.3,-2.2,-0.9,0.3,11562500,12500000,13437500,0,0,0,37500000,0,0,2,6,241
Jose Calderon,PG,36,CLE,39,610,10.3,0.64,0.545,0.164,1.5,9.7,5.1,17,1.6,0,18.1,10.5,0.9,0.2,1.1,0.085,-0.3,-1.8,-2.1,0,2328652,0,0,0,0,0,2328652,0,0,2,4,243
Kevin Love,C,29,CLE,48,1342,22.9,0.613,0.433,0.369,7.8,9.7,18.7,9.4,1.2,1.3,9.3,25.5,4,1.3,5.2,0.187,2.7,-1.7,1,1,22642350,24119025,25595700,0,0,0,46761375,0,0,2,7,270
Kyle Korver,SG,36,CLE,55,1182,13.7,0.65,0.784,0.141,0.9,9.7,5.2,8.6,0.7,1.5,8.9,16.5,2.2,0.3,2.5,0.102,2.4,-2.6,-0.1,0.6,7000000,7560000,7500000,0,0,0,18000000,0,0,2,6,281
Larry Nance,PF,25,CLE,43,943,19.3,0.615,0.019,0.341,12.1,9.7,16.2,9.4,3,1.7,12.1,15.1,2.1,1.6,3.7,0.189,0.9,2.7,3.7,1.3,1471382,2272391,0,0,0,0,3743773,0,0,2,6,291
LeBron James,PF,33,CLE,55,2033,27.7,0.62,0.258,0.322,3.5,9.7,12.3,44,2.1,2.4,17.1,30.8,6.6,2,8.7,0.204,6.8,2.1,8.9,5.6,33285709,35607968,0,0,0,0,33285709,1,2,5,9,293
London Perrantes,PG,23,CLE,2,4,-6,0,0,0,0,9.7,0,30.4,0,0,0,11.1,0,0,0,-0.175,-13.2,-9.8,-22.9,0,0,0,0,0,0,0,0,0,0,1,2,294
Rodney Hood,SG,25,CLE,40,1103,15.7,0.553,0.476,0.172,1.5,9.7,5.9,10.3,1.4,0.6,9.6,27.5,0.7,1,1.7,0.073,0.7,-2.6,-1.9,0,2386864,0,0,0,0,0,2386864,0,0,2,4,393
Tristan Thompson,C,26,CLE,35,737,14,0.61,0,0.361,11.3,9.7,16.1,4.1,0.7,1.6,10.5,12.1,1.5,0.4,1.9,0.123,-1.1,-0.7,-1.8,0,16400000,17469565,18539130,0,0,0,52408695,0,0,2,6,447
Dennis Smith,PG,20,DAL,49,1437,12.5,0.473,0.336,0.194,2.6,9.7,7.5,28.5,1.7,0.8,15.6,28.8,-1.9,1.2,-0.7,-0.022,-1.7,-0.6,-2.3,-0.1,3218280,3819960,4463640,5686677,0,0,7038240,0,0,2,6,108
Dirk Nowitzki,C,39,DAL,56,1398,17.5,0.582,0.409,0.159,1.6,9.7,12.7,10.3,1.3,1.7,5.6,20.5,2.3,1.6,3.9,0.133,0.6,0.2,0.7,1,5000000,5000000,0,0,0,0,5000000,1,1,2,9,120
Dorian Finney-Smith,PF,24,DAL,8,94,5.3,0.568,0.636,0.091,5.8,9.7,6,7.8,0,1,23.4,14.5,0,0,0,-0.005,-2.9,-2.1,-5,-0.1,1312611,1544951,0,0,0,0,1312611,0,0,2,3,123
Doug McDermott,SF,26,DAL,57,1227,10,0.556,0.419,0.153,3.2,9.7,6.4,6.7,0.5,0.9,8.7,14.5,1.2,0.5,1.7,0.065,-0.5,-1.6,-2,0,3294994,0,0,0,0,0,3294994,0,0,2,6,124
Dwight Powell,C,26,DAL,56,1100,18.5,0.651,0.181,0.397,9.2,9.7,14.7,6.9,2.2,1.8,10.5,15.4,2.8,1.4,4.2,0.185,0.9,1.5,2.4,1.2,9003125,9631250,10259375,0,0,0,18634375,0,0,2,6,130
Harrison Barnes,PF,25,DAL,55,1898,15.9,0.54,0.26,0.254,3.4,9.7,10.7,9.3,1,0.6,8.1,24.4,1.5,1.4,3,0.075,-0.8,-1.1,-1.9,0.1,23112004,24107258,25102512,0,0,0,47219262,0,0,3,7,166
J.J. Barea,PG,33,DAL,52,1199,17,0.528,0.454,0.181,0.8,9.7,7.3,42.9,1.1,0.2,15.5,24.7,1.4,0.8,2.2,0.088,1.8,-2.1,-0.3,0.5,3903900,3710850,0,0,0,0,7614750,0,0,1,5,181
Jalen Jones,SF,24,DAL,8,52,8.8,0.526,0.308,0.385,2.1,9.7,15.1,2.9,1,0,11.6,14.9,0,0,0,0.041,-6.3,-2.6,-8.9,-0.1,27648,0,0,0,0,0,27648,0,0,2,3,193
