MarShon Brooks,SG,MEM,51671,1707763,0,0,0,0,0,2,2019,62,29
Mike Conley,PG,MEM,26540100,55070708,85591823,118103446,152605576,0,0,5,2021,81,30
Omri Casspi,SF,MEM,2165481,0,0,0,0,0,0,1,2019,73,30
Wayne Selden,SG,MEM,1312611,2857562,0,0,0,0,0,2,2019,72,23
Derrick Jones Jr.,SF,MIA,1512601,3157958,0,0,0,0,0,2,2020,71,21
Dion Waiters,SG,MIA,11000000,22550000,34650000,47300000,0,0,0,4,2021,75,26
Edrice Adebayo,PF,MIA,2490360,5446200,0,0,0,0,0,2,2021,75,20
Goran Dragic,PG,MIA,14783000,30674725,47675175,65784350,85002250,0,0,5,2020,84,32
Hassan Whiteside,C,MIA,22116750,45892256,71326519,98419538,0,0,0,4,2020,83,29
James Johnson,PF,MIA,13954000,28605700,43955100,0,0,0,0,3,2021,77,31
Jordan Mickey,PF,MIA,1471382,0,0,0,0,0,0,1,2019,66,23
Josh Richardson,SG,MIA,9367200,19483776,30349728,41965056,0,0,0,4,2022,79,24
Justise Winslow,SF,MIA,2481720,5075160,7780200,11229126,0,0,0,4,2019,76,22
Kelly Olynyk,C,MIA,12007169,24544696,37612582,51210826,0,0,0,4,2021,77,27
Rodney McGruder,SG,MIA,543471,1856082,3401033,0,0,0,0,3,2019,68,26
Tyler Johnson,SG,MIA,5628000,11509260,30754630,50000000,0,0,0,4,2020,80,25
Brandon Jennings,PG,MIL,130911,2353714,0,0,0,0,0,2,2019,72,28
DJ Wilson,PF,MIL,2135040,4669320,0,0,0,0,0,2,2021,70,22
Eric Bledsoe,PG,MIL,13000000,26500000,40500000,53361582,68361582,0,0,5,2019,80,28
Ersan Ilyasova,PF,MIL,6666667,13666667,21000000,0,0,0,0,3,2021,74,31
Giannis Antetokounmpo,SF,MIL,22471910,46629213,72471910,100000000,0,0,0,4,2021,94,23
John Henson,PF,MIL,15267606,26440142,36767608,46250004,0,0,0,4,2020,80,27
Khris Middleton,SF,MIL,14700000,29900000,44000000,57000000,70000000,0,0,5,2020,85,26
Malcolm Brogdon,PG,MIL,925000,2237611,3782562,0,0,0,0,3,2019,78,25
Matthew Dellavedova,PG,MIL,9607500,19215000,28822500,38430000,0,0,0,4,2020,69,27
Sterling Brown,SG,MIL,815615,2193857,3812377,0,0,0,0,3,2020,70,23
Thon Maker,PF,MIL,2568600,5252760,8052480,0,0,0,0,3,2020,76,21
Tony Snell,SG,MIL,9821429,20428572,31821429,44000000,0,0,0,4,2021,76,36
Tyler Zeller,C,MIL,627796,2561737,0,0,0,0,0,2,2019,74,28
Andrew Wiggins,SG,MIN,25250000,52520000,81810000,113120000,146450000,0,0,4,2023,80,23
Anthony Tolliver,PF,MIN,5750000,0,0,0,0,0,0,1,2019,75,33
Derrick Rose,PG,MIN,2176260,0,0,0,0,0,0,1,2019,78,29
Gorgui Dieng,C,MIN,14112360,29283147,45512360,62800000,0,0,0,4,2021,75,28
Jamal Crawford,SG,MIN,4328000,8872400,0,0,0,0,0,2,2019,74,38
Jeff Teague,PG,MIN,19000000,38000000,57000000,0,0,0,0,3,2020,79,30
Jimmy Butler,SG,MIN,19857500,36863861,54410779,73102406,92944033,0,0,5,2020,89,28
