Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Boban Marjanovic,C,29,TOT,20,171,21.7,0.597,0,0.57,9.6,28.3,18.7,14.3,1.2,3.1,18.2,31.3,0,0.2,0.3,0.5,0.139,0,-2.5,0.4,-2.1,0
Bobby Brown,PG,33,HOU,20,115,5.5,0.425,0.69,0.034,0,6.9,3.5,14.8,1.7,0,13.3,25.8,0,-0.3,0.1,-0.2,-0.083,0,-5,-4.4,-9.3,-0.2
Bobby Portis,PF,22,CHI,46,962,20.5,0.549,0.273,0.226,10.8,22.7,16.6,13.8,1.4,1.1,10.2,26,0,1.5,0.9,2.4,0.12,0,1.2,-0.6,0.6,0.6
Bogdan Bogdanovic,SG,25,SAC,52,1415,13.8,0.575,0.426,0.172,1.6,10.1,5.6,17.9,1.9,0.9,14.5,18.7,0,1.4,0.5,1.9,0.066,0,0.7,-1.5,-0.8,0.4
Bojan Bogdanovic,SF,28,IND,56,1706,13.5,0.598,0.467,0.233,1.2,10.7,6,6.8,1.2,0.2,9.6,18.6,0,2.4,0.9,3.3,0.094,0,1,-2.1,-1.1,0.4
Bradley Beal,SG,24,WAS,56,2031,19.3,0.562,0.353,0.267,2.5,11.3,6.9,19.4,1.7,1.1,10.4,28.1,0,3.4,1.8,5.3,0.124,0,2.9,-1,1.9,2
Brandan Wright,PF,30,MEM,27,366,19.7,0.595,0,0.333,10.1,19.6,14.8,6,1.8,6.3,6.6,15.1,0,0.8,0.5,1.3,0.176,0,-1.1,2.6,1.5,0.3
Brandon Ingram,SF,20,LAL,51,1729,13.3,0.529,0.134,0.384,2.9,13.6,8.2,16.4,1.1,1.6,14,21.9,0,0.7,1.6,2.3,0.063,0,-1.9,0.2,-1.7,0.1
Brandon Paul,SG,26,SAS,50,486,9.1,0.526,0.45,0.303,1.1,12.8,7,10.2,2.6,0.9,15.7,13.6,0,0,0.8,0.8,0.077,0,-2.7,1.3,-1.4,0.1
Brice Johnson,PF,23,LAC,9,38,21.5,0.673,0.091,0.182,5.8,31.3,18.6,4.2,7.7,4.5,25.2,18.1,0,0,0.1,0.1,0.177,0,-2.8,6.8,3.9,0.1
Brook Lopez,C,29,LAL,47,1002,15.4,0.531,0.424,0.195,5.4,14.1,9.7,12,0.9,5,12.1,25.4,0,0.4,1.2,1.6,0.074,0,-0.6,0.2,-0.4,0.4
Bruno Caboclo,SF,22,TOR,2,7,-0.1,0,1,0,0,15.7,8,16.7,7,0,0,12.4,0,0,0,0,-0.109,0,-6.6,4.4,-2.2,0
Bryn Forbes,SG,24,SAS,57,1190,8.7,0.52,0.48,0.128,0.9,7.3,4.1,7.1,1,0.1,7.1,17.1,0,0.4,1.2,1.5,0.062,0,-1.3,-1.7,-3,-0.3
Buddy Hield,SG,24,SAC,53,1261,15.4,0.554,0.442,0.094,2.5,14.7,8.4,10.8,2,1,10.8,24,0,0.7,0.7,1.4,0.055,0,0.7,-2,-1.3,0.2
C.J. McCollum,SG,26,POR,56,2014,17.6,0.55,0.319,0.171,2,9.7,5.9,15.2,1.4,0.8,8.9,26.5,0,3,1.8,4.8,0.113,0,1.9,-1.3,0.6,1.3
C.J. Miles,SF,30,TOR,45,831,15.6,0.577,0.751,0.148,1.4,10.3,5.9,5.4,1.8,1.6,5.2,22.2,0,1.5,1,2.5,0.143,0,3,-1.9,1.1,0.7
C.J. Williams,SG,27,LAC,28,544,10.1,0.549,0.414,0.097,2,6.6,4.3,6.4,2.2,2,9.6,13.3,0,0.3,0.5,0.8,0.07,0,-1.1,0.6,-0.6,0.2
Caleb Swanigan,PF,20,POR,17,139,7.3,0.404,0.133,0.289,10.5,18.6,14.6,9.3,1.8,1.7,17.8,19.6,0,-0.2,0.2,0,-0.016,0,-5.8,0.7,-5.1,-0.1
Cameron Payne,PG,22,CHI,11,142,4,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0,16.7,23.9,,-0.4,0.1,-0.3,-0.086,,-5,-2.5,-7.5,-0.2
Caris LeVert,SF,23,BRK,50,1306,13.5,0.518,0.339,0.273,3.1,12.5,7.7,25.2,2.1,0.9,17.5,22.5,0,0,1.2,1.2,0.045,0,-0.9,0.2,-0.7,0.4
Carmelo Anthony,PF,33,OKC,54,1738,13.7,0.508,0.377,0.187,2.4,19,10.4,7,1,1.9,7.1,24.1,0,1.2,2,3.2,0.088,0,-1.8,-1.7,-3.5,-0.6
Cedi Osman,SF,22,CLE,44,398,11.1,0.609,0.426,0.287,3.2,19.1,11.3,6.5,1.7,0.4,13.8,13.7,0,0.3,0.3,0.6,0.075,0,-1.8,-1.2,-2.9,-0.1
Chandler Parsons,SF,29,MEM,26,545,14.4,0.6,0.531,0.14,2.5,13.4,7.9,16.4,1.2,1.5,13.2,18.3,0,0.7,0.4,1.1,0.098,0,0.9,-1.2,-0.2,0.2
Channing Frye,C,34,CLE,44,545,13.8,0.604,0.533,0.089,2.1,20.4,11.4,7.7,1.4,1.9,9.3,15.8,0,0.7,0.4,1.1,0.097,0,-0.6,-0.9,-1.5,0.1
Charles Cooke,SG,23,NOP,7,20,-0.3,0.304,0.556,0.222,0,5.4,2.8,6.6,2.4,0,9.2,23.8,0,-0.1,0,-0.1,-0.208,0,-9.3,-4.3,-13.6,-0.1
Cheick Diallo,PF,21,NOP,28,229,15.2,0.581,0,0.303,8.5,29.7,19.4,3.9,0.6,1.4,9.5,18.2,0,0.3,0.2,0.6,0.121,0,-4.1,-2.5,-6.6,-0.3
Chinanu Onuaku,C,20,HOU,5,52,12.3,0.799,0,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,,0.1,0.1,0.1,0.123,,-2.4,1.8,-0.6,0
Chris McCullough,PF,22,WAS,18,86,17.2,0.498,0.175,0.35,9.1,22.2,15.7,5.6,0,5.1,4.2,24.6,0,0.1,0.1,0.2,0.105,0,-3.4,-2,-5.4,-0.1
Chris Paul,PG,32,HOU,37,1181,26,0.616,0.481,0.275,2.1,17.9,10,43,2.8,0.8,12.5,24.7,0,5.3,1.7,7,0.285,0,7.1,1,8.1,3
Clint Capela,C,23,HOU,50,1356,25.4,0.655,0.002,0.398,13.4,32.8,23.2,6.3,1.4,5.9,12.1,20.3,0,4.3,2.6,6.9,0.243,0,0.2,2.8,3,1.7
Cody Zeller,C,25,CHO,25,481,15.4,0.57,0.017,0.612,11.7,19.9,15.7,7.8,1.1,3.7,15.9,16.5,0,0.7,0.6,1.3,0.131,0,-1.6,2,0.4,0.3
Cole Aldrich,C,29,MIN,12,28,9.2,0.372,0,0.444,12.4,16.8,14.6,4.8,3.6,3.2,8.5,18.6,0,0,0,0,0.017,0,-5.3,0.8,-4.5,0
Corey Brewer,SF,31,LAL,51,647,8.6,0.503,0.269,0.281,3.6,11.1,7.3,7.6,2.8,1,16.7,14.1,0,-0.2,0.8,0.6,0.043,0,-3.7,1,-2.8,-0.1
Cory Joseph,PG,26,IND,57,1482,11,0.512,0.336,0.158,1.7,10.6,6.3,16.4,1.6,0.7,11.8,14.4,0,1,1,2.1,0.067,0,-1,-0.5,-1.5,0.2
Courtney Lee,SG,32,NYK,57,1860,13.5,0.559,0.359,0.17,1.7,9.7,5.7,12.5,1.8,0.6,9.8,17.5,0,2.3,1.4,3.6,0.094,0,1.1,-0.3,0.8,1.3
